sample	individual	treatment	tissue	timepoint	timepoint_specific	sex	sex_nomorph	set
011	1	neutral	head	Day 30	Day 30	NA	NA	RD1
012	1	neutral	body	Day 30	Day 30	NA	NA	RD1
013	2	neutral	head	Day 30	Day 30	NA	NA	RD1
014	2	neutral	body	Day 30	Day 30	NA	NA	RD1
015	3	neutral	head	Day 30	Day 30	NA	NA	RD1
016	3	neutral	body	Day 30	Day 30	NA	NA	RD1
017	4	neutral	head	Day 30	Day 30	NA	NA	RD1
018	4	neutral	body	Day 30	Day 30	NA	NA	RD1
019	5	neutral	head	Day 30	Day 30	NA	NA	RD1
020	5	neutral	body	Day 30	Day 30	NA	NA	RD1
061	6	neutral	head	Day 30	Day 30	NA	NA	RD4
062	6	neutral	body	Day 30	Day 30	NA	NA	RD4
063	7	neutral	head	Day 30	Day 30	NA	NA	RD4
064	7	neutral	body	Day 30	Day 30	NA	NA	RD4
065	8	neutral	head	Day 30	Day 30	NA	NA	RD4
066	8	neutral	body	Day 30	Day 30	NA	NA	RD4
067	9	neutral	head	Day 30	Day 30	NA	NA	RD4
068	9	neutral	body	Day 30	Day 30	NA	NA	RD4
115	10	acidic	head	Day 1	Day 1	NA	NA	RD6 3
116	10	acidic	body	Day 1	Day 1	NA	NA	RD6 3
117	11	acidic	head	Day 1	Day 1	NA	NA	RD6 3
118	11	acidic	body	Day 1	Day 1	NA	NA	RD6 3
119	12	acidic	head	Day 1	Day 1	NA	NA	RD6 3
120	12	acidic	body	Day 1	Day 1	NA	NA	RD6 3
121	13	acidic	head	Day 30	Day 30	NA	NA	RD6 3
122	13	acidic	body	Day 30	Day 30	NA	NA	RD6 3
123	14	acidic	head	Day 30	Day 30	NA	NA	RD6 3
124	14	acidic	body	Day 30	Day 30	NA	NA	RD6 3
126	15	acidic	body	Day 30	Day 30	NA	NA	RD6 3
127	16	acidic	head	Day 30	Day 30	NA	NA	RD6 3
128	16	acidic	body	Day 30	Day 30	NA	NA	RD6 3
129	17	acidic	head	Day 30	Day 30	NA	NA	RD6 3
130	17	acidic	body	Day 30	Day 30	NA	NA	RD6 3
131	18	acidic	head	Day 60	Day 60	NA	NA	RD6 3
132	18	acidic	body	Day 60	Day 60	NA	NA	RD6 3
133	19	acidic	head	Day 60	Day 60	NA	NA	RD6 3
134	19	acidic	body	Day 60	Day 60	NA	NA	RD6 3
135	20	acidic	head	Day 60	Day 60	NA	NA	RD6 3
136	20	acidic	body	Day 60	Day 60	NA	NA	RD6 3
137	21	acidic	head	Day 60	Day 60	NA	NA	RD6 3
138	21	acidic	body	Day 60	Day 60	NA	NA	RD6 3
139	22	acidic	head	Day 60	Day 60	NA	NA	RD6 3
140	22	acidic	body	Day 60	Day 60	NA	NA	RD6 3
141	23	neutral	head	Day 1	Day 1	NA	NA	RD7
142	23	neutral	body	Day 1	Day 1	NA	NA	RD7
143	24	neutral	head	Day 1	Day 1	NA	NA	RD7
144	24	neutral	body	Day 1	Day 1	NA	NA	RD7
145	25	neutral	head	Day 1	Day 1	NA	NA	RD7
146	25	neutral	body	Day 1	Day 1	NA	NA	RD7
147	26	neutral	head	Day 1	Day 1	NA	NA	RD7
148	26	neutral	body	Day 1	Day 1	NA	NA	RD7
149	27	neutral	head	Day 30	Day 30	NA	NA	RD7
150	27	neutral	body	Day 30	Day 30	NA	NA	RD7
151	28	neutral	head	Day 30	Day 30	NA	NA	RD7
152	28	neutral	body	Day 30	Day 30	NA	NA	RD7
153	29	neutral	head	Day 30	Day 30	NA	NA	RD7
154	29	neutral	body	Day 30	Day 30	NA	NA	RD7
155	30	neutral	head	Day 30	Day 30	NA	NA	RD7
156	30	neutral	body	Day 30	Day 30	NA	NA	RD7
157	31	neutral	head	Day 60	Day 60	NA	NA	RD7
158	31	neutral	body	Day 60	Day 60	NA	NA	RD7
159	32	neutral	head	Day 60	Day 60	NA	NA	RD7
160	32	neutral	body	Day 60	Day 60	NA	NA	RD7
161	33	neutral	head	Day 60	Day 60	NA	NA	RD7
162	33	neutral	body	Day 60	Day 60	NA	NA	RD7
163	34	neutral	head	Day 60	Day 60	NA	NA	RD7
164	34	neutral	body	Day 60	Day 60	NA	NA	RD7
213	35	acidic	head	Day 30	Day 30	NA	NA	RD10
214	35	acidic	body	Day 30	Day 30	NA	NA	RD10
215	36	acidic	head	Day 30	Day 30	NA	NA	RD10
216	36	acidic	body	Day 30	Day 30	NA	NA	RD10
217	37	acidic	head	Day 30	Day 30	NA	NA	RD10
218	37	acidic	body	Day 30	Day 30	NA	NA	RD10
219	38	acidic	head	Day 30	Day 30	NA	NA	RD10
220	38	acidic	body	Day 30	Day 30	NA	NA	RD10
283	39	acidic	head	Day 30	Day 30	NA	NA	C70
284	39	acidic	body	Day 30	Day 30	NA	NA	C70
285	40	acidic	head	Day 30	Day 30	NA	NA	C70
286	40	acidic	body	Day 30	Day 30	NA	NA	C70
287	41	acidic	head	Day 30	Day 30	NA	NA	C70
288	41	acidic	body	Day 30	Day 30	NA	NA	C70
289	42	acidic	head	Day 30	Day 30	NA	NA	C70
290	42	acidic	body	Day 30	Day 30	NA	NA	C70
291	43	acidic	head	Day 30	Day 30	NA	NA	C70
292	43	acidic	body	Day 30	Day 30	NA	NA	C70
629	44	neutral	head	Adult	Oneyear	F	F	RD1
630	44	neutral	body	Adult	Oneyear	F	F	RD1
631	45	neutral	head	Adult	Oneyear	J	J	RD1
632	45	neutral	body	Adult	Oneyear	J	J	RD1
633	46	neutral	head	Adult	Oneyear	J	J	RD1
634	46	neutral	body	Adult	Oneyear	J	J	RD1
635	47	neutral	head	Adult	Oneyear	J	J	RD1
636	47	neutral	body	Adult	Oneyear	J	J	RD1
637	48	neutral	head	Adult	Oneyear	J	J	RD1
638	48	neutral	body	Adult	Oneyear	J	J	RD1
639	49	neutral	head	Adult	Oneyear	J	J	RD1
640	49	neutral	body	Adult	Oneyear	J	J	RD1
641	50	neutral	head	Adult	Oneyear	J	J	RD4
642	50	neutral	body	Adult	Oneyear	J	J	RD4
643	51	neutral	head	Adult	Oneyear	J	J	RD4
644	51	neutral	body	Adult	Oneyear	J	J	RD4
645	52	neutral	head	Adult	Oneyear	Y	M	RD4
646	52	neutral	body	Adult	Oneyear	Y	M	RD4
647	53	neutral	head	Adult	Oneyear	J	J	RD4
648	53	neutral	body	Adult	Oneyear	J	J	RD4
649	54	neutral	head	Adult	Oneyear	F	F	RD4
650	54	neutral	body	Adult	Oneyear	F	F	RD4
651	55	acidic	head	Adult	Oneyear	F	F	RD6 3
652	55	acidic	body	Adult	Oneyear	F	F	RD6 3
653	56	acidic	head	Adult	Oneyear	Y	M	RD6 3
654	56	acidic	body	Adult	Oneyear	Y	M	RD6 3
655	57	acidic	head	Adult	Oneyear	Y	M	RD6 3
656	57	acidic	body	Adult	Oneyear	Y	M	RD6 3
657	58	acidic	head	Adult	Oneyear	Y	M	RD6 3
658	58	acidic	body	Adult	Oneyear	Y	M	RD6 3
659	59	acidic	head	Adult	Oneyear	Y	M	RD6 3
660	59	acidic	body	Adult	Oneyear	Y	M	RD6 3
661	60	acidic	head	Adult	Oneyear	J	J	RD6 3
662	60	acidic	body	Adult	Oneyear	J	J	RD6 3
663	61	neutral	head	Adult	Oneyear	F	F	RD7
664	61	neutral	body	Adult	Oneyear	F	F	RD7
665	62	neutral	head	Adult	Oneyear	F	F	RD7
666	62	neutral	body	Adult	Oneyear	F	F	RD7
667	63	neutral	head	Adult	Oneyear	F	F	RD7
668	63	neutral	body	Adult	Oneyear	F	F	RD7
669	64	neutral	head	Adult	Oneyear	Y	M	RD7
670	64	neutral	body	Adult	Oneyear	Y	M	RD7
671	65	acidic	head	Adult	Oneyear	F	F	C70
672	65	acidic	body	Adult	Oneyear	F	F	C70
673	66	acidic	head	Adult	Oneyear	Y	M	C70
674	66	acidic	body	Adult	Oneyear	Y	M	C70
675	67	acidic	head	Adult	Oneyear	F	F	C70
676	67	acidic	body	Adult	Oneyear	F	F	C70
677	68	acidic	head	Adult	Oneyear	F	F	C70
678	68	acidic	body	Adult	Oneyear	F	F	C70
679	69	acidic	head	Adult	Oneyear	F	F	C70
680	69	acidic	body	Adult	Oneyear	F	F	C70
681	70	acidic	head	Adult	Oneyear	J	J	C70
682	70	acidic	body	Adult	Oneyear	J	J	C70
683	71	NA	head	Adult	Adult	Y	M	Nicole
684	71	NA	body	Adult	Adult	Y	M	Nicole
685	72	NA	head	Adult	Adult	Y	M	Nicole
686	72	NA	body	Adult	Adult	Y	M	Nicole
687	73	NA	head	Adult	Adult	F	F	Nicole
688	73	NA	body	Adult	Adult	F	F	Nicole
689	74	NA	head	Adult	Adult	R	M	Nicole
690	74	NA	body	Adult	Adult	R	M	Nicole
691	75	NA	head	Adult	Adult	R	M	Nicole
692	75	NA	body	Adult	Adult	R	M	Nicole
693	76	NA	head	Adult	Adult	B	M	Nicole
694	76	NA	body	Adult	Adult	B	M	Nicole
695	77	NA	head	Adult	Adult	F	F	Nicole
696	77	NA	body	Adult	Adult	F	F	Nicole
697	78	NA	head	Adult	Adult	F	F	Nicole
698	78	NA	body	Adult	Adult	F	F	Nicole
699	79	NA	head	Adult	Adult	F	F	Nicole
700	79	NA	body	Adult	Adult	F	F	Nicole
701	80	NA	head	Adult	Adult	Y	M	Nicole
702	80	NA	body	Adult	Adult	Y	M	Nicole
703	81	NA	head	Adult	Adult	R	M	Nicole
704	81	NA	body	Adult	Adult	R	M	Nicole
705	82	NA	head	Adult	Adult	R	M	Nicole
706	82	NA	body	Adult	Adult	R	M	Nicole
707	83	NA	head	Adult	Adult	Y	M	Nicole
708	83	NA	body	Adult	Adult	Y	M	Nicole
709	84	NA	head	Adult	Adult	Y	M	Nicole
711	85	NA	head	Adult	Adult	B	M	Nicole
712	85	NA	body	Adult	Adult	B	M	Nicole
713	86	NA	head	Adult	Adult	B	M	Nicole
714	86	NA	body	Adult	Adult	B	M	Nicole
715	87	NA	head	Adult	Adult	B	M	Nicole
NC1	NA	NA	NA	NA	NA	NA	NA	NA
NC2	NA	NA	NA	NA	NA	NA	NA	NA
